Contract ID,Description,Estimate,City,License Type,Business Type
01-0L7404,"| 0 bidder inquiries  | Download filesCorrugated steel pipe, structural concrete headwall, remove culvert.01-Men-128-37.4/49.4 * Date Advertised 04/22/2024Bids Opening in Sacramento * Bids Open 05/21/2024 Estimate: $460,000 In Mendocino County At Various Locations From 0.9 Mile East Of Fish Rock Road - Road 122 To 1.5 Miles West Of End Of County The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-42.35 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 11 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","460,000 ",Mendocino,Class A,Small Business Preference
01-0M5804,"| 1 bidder inquiry  | See addenda (1) | Download filesCSP and DD, drainage inlet, and cable anchorage system.01-Men-20-13.1/14.7 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/14/2024 Estimate: $430,000 In Mendocino County At Various Locations From 2.5 Miles East Of Parlin Fork Camp Road To 2.6 Miles West Of Road 200a The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-42.25 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 9 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","430,000 ",Mendocino,Class A,Small Business Preference
01-0M6004,"| 0 bidder inquiries  | Download filesCSP, remove culvert and cable anchorage system.01-Men-162-0.8/1.1 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/23/2024 Estimate: $410,000 In Mendocino County At Various Locations From 0.8 Mile East Of Junction 101 To 1.1 Miles West Of Corral Creek Bridge 10-234 The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-42.25 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","410,000 ",Mendocino,Class A,Small Business Preference
01-0M6704,"| 0 bidder inquiries  | Download filesMicro-surfacing, pavement delineation, and replace AC surfacing.01-DN-101-R27.9/31.2 * Date Advertised 04/22/2024Bids Opening in Sacramento * Bids Open 05/22/2024 Estimate: $1,390,000 In Del Norte County Near Crescent City From Washington Boulevard Overcrossing To Elk Valley Cross Road The Contractor must have either a Class A license or one of the following Class C licenses which constitutes a majority of the work: C-12, C-3230 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 11 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,390,00",Del Norte,Class A,Small Business Preference
02-0K0104,"| 3 bidder inquiries  | Download filesRoadside sign - one post, thermoplastic striping and marking.02-Teh-5-R5.6/42.0 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/14/2024 Estimate: $840,000 In Tehama County Near Corning At Various Locations From 0.2 Mile South Of Liberal Avenue Overcrossing To Cottonwood Creek Bridge Overhead The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-32, C-45, C-61 D-42.30 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 6 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","840,000 ",Tehama Cou,Class A,Small Business Preference
02-0K3904,"| 4 bidder inquiries  | See addenda (2) | Download filesRoadside sign - one post, remove roadside sign.02-Las,Plu,Sha,Sis,Teh-99,151,263,284,395-Var * Date Advertised 04/08/2024Bids Opening in Sacramento * Bids Open 05/15/2024 Estimate: $340,000 In Lassen, Plumas, Shasta, Siskiyou, And Tehama Counties At Various Locations The Contractor must have either a Class A license or one of the following Class C licenses: C-45, C-61 D-4270 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 3 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","340,000 ","Lassen, Pl",Class A,Small Business Preference
02-1J7004,"| 0 bidder inquiries  | Download filesConstruct disposal site.02-Tri-299-46.2 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/23/2024 Estimate: $1,170,000 In Trinity County Near Junction City At 0.7 Mile East Of Slattery Pond Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.60 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 6 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,170,00",Trinity Co,Class A,Small Business Preference
02-3H70U4,"| 0 bidder inquiries  | Download filesRHMA-G, HMA (Type A), cold plane AC, & soldier pile retaining wall.02-Tri-299-15.0/25.7 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 06/18/2024 Estimate: $16,800,000 In Trinity County Near Del Loma From 1.0 Mile East Of Trinity River Bridge No.05-0006 To 0.1 Mile West Of Prairie Creek Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.120 Working Days * 21% DBE Requirement *   Subs/Suppliers: Opt In  | See 23 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","16,800,0",Trinity Co,Class A,N/A
02-4J1404,"| 0 bidder inquiries  | Download filesInstall grinder pump, add changing stations, & stripe ADA parking.02-Sis-97-21.8 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/22/2024 Estimate: $490,000 In Siskiyou County About 22 Miles North Of Weed At Grass Lake Safety Roadside Rest Area The Contractor must have either a Class A license or Class B license or a combination of Class C licenses which constitutes a majority of the work.105 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 6 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","490,000 ",tall grind,Class A,Small Business Preference
02-4J8204,"| 0 bidder inquiries  | See addenda (1) | Download filesPlace asphalt rubber chip seal with replace AC surfacing .02-Mod-299-14.7/20.0 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/29/2024 Estimate: $760,000 In Modoc County Near Canby From 0.1 Mile East Of County Road 85 To 1.7 Miles West Of Route 139 The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.25 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","760,000 ",Modoc Coun,Class A,Small Business Preference
02-4J8504,"| 0 bidder inquiries  | Download filesPlace hot mix asphalt (Type A) and replace asphalt concrete surfacing.02-Las-395-130.0/133.0 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/30/2024 Estimate: $1,370,000 In Lassen County Near Madeline From 0.8 Mile North To 3.8 Miles North Of Ash Valley Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.25 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,370,00",Lassen Cou,Class A,Small Business Preference
03-2G9404,"| 0 bidder inquiries  | Download filesInstall cured-in-place pipeliners.03-ED-193-R5.9/R6.4 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/14/2024 Estimate: $440,000 In El Dorado County Near Greenwood From 0.2 Mile East Of Pilgrim Court To 0.2 Mile South Of Sliger Mine Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-42.30 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 3 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","440,000 ",tall cured,Class A,Small Business Preference
03-2H50A4,"| 5 bidder inquiries  | Download filesReplace existing roof.03-Nev-80-R5.5/R5.8 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/21/2024 Estimate: $670,000 In Nevada County Approximately 12.4 Miles West Of Truckee At Donner Summit Safety Roadside Rest Area The Contractor must have either a Class A license or Class B license or a combination of Class C licenses which constitutes a majority of the work.55 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 10 opt-in records | Primes: Advertise for help  | 5 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","670,000 ",Nevada Cou,Class A,Small Business Preference
03-3G0704,"| 0 bidder inquiries  | Download filesCold plane and place HMA.03-But-32-31.5/37.8 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/29/2024 Estimate: $3,020,000 In Butte County From 1.6 Miles North Of 120g/platt Mountain Road To Tehama County Line The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.45 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 11 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","3,020,00",Butte Coun,Class A,Small Business Preference
03-3G2704,"| 10 bidder inquiries  | See addenda (4) | Download filesReplace pavement.03-Sut-99-8.3/14.1 * Date Advertised 04/02/2024Bids Opening in Sacramento * Bids Open 05/22/2024 Estimate: $5,400,000 In Sutter County On Route 99 Near Nicolaus From 0.3 Mile North Of Route 70 Junction To 0.6 Mile South Of Laurel Avenue The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.45 Working Days *  DVBE participation incentive up to $250,000.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 24 opt-in records | Primes: Advertise for help  | 9 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","5,400,00",Sutter Cou,Class A,Small Business Preference
03-4H76U4,"| 26 bidder inquiries  | See addenda (2) | Download filesRehabilitate Pvmt, install signal, lighting, drainage, & ADA ramps.03-But-32-5.0/10.2 * Date Advertised 03/25/2024Bids Opening in Sacramento * Bids Open 05/16/2024 Estimate: $28,000,000 In Butte County In Chico From Muir Avenue To Interchange Of State Routes 99 And 32 The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-10, C-12.250 Working Days * 22% DBE Requirement *   Subs/Suppliers: Opt In  | See 35 opt-in records | Primes: Advertise for help  | 4 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","28,000,0",Butte Coun,Class A,N/A
04-0Q1004,"| 9 bidder inquiries  | See addenda (1) | Download filesThis project has a mandatory pre-bid meetingIndividual slab replacement, HMA, RHMA, approach slab and electrical.04-Ala-580-20.7/R30.8 * Date Advertised 04/02/2024Bids Opening in Sacramento * Bids Open 05/23/2024 Estimate: $47,000,000 In Alameda County In Pleasanton And Castro Valley From Route 680/580 Separation To Route 580/238 Separation The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-8, C-12.450 Working Days * 22% DBE Requirement *   Subs/Suppliers: Opt In  | See 42 opt-in records | Primes: Advertise for help  | 7 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","47,000,0",ividual sl,Class A,N/A
04-0Q8304,"| 13 bidder inquiries  | See addenda (1) | Download filesSoldier pile, Conc backfill, HMA, timber lagging, and MGS.04-Nap-29-46.1 * Date Advertised 04/22/2024Bids Opening in Sacramento * Bids Open 05/22/2024 Estimate: $1,300,000 In  Napa County Near Calistoga At 2.5 Miles South Of Lake County Line The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-61 D-09, C-12.345 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 21 opt-in records | Primes: Advertise for help  | 5 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,300,00",Napa Coun,Class A,Small Business Preference
04-0Y2604,"| 5 bidder inquiries  | See addenda (1) | Download filesCold plane asphalt concrete pavement and overlay with RHMA-G.04-Son,Nap-121-R7.3/11.6, 0.3/2.0 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/15/2024 Estimate: $3,080,000 In Sonoma County And Napa County Near Schellville From Sonoma Creek Bridge To Napa County Line And From 0.3 Mile East Of Sonoma County Line To Duhig Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.40 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 22 opt-in records | Primes: Advertise for help  | 8 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","3,080,00",Sonoma Cou,Class A,Small Business Preference
04-0Y3904,"| 0 bidder inquiries  | Download filesCold plane AC pavement and place RHMA-G.04-Ala-262-R0.0/R1.1 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/14/2024 Estimate: $1,050,000 In Alameda County In Fremont From Route 880 To Route 680 The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.30 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 18 opt-in records | Primes: Advertise for help  | 4 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,050,00",Alameda Co,Class A,Small Business Preference
04-0Y7904,"| 0 bidder inquiries  | See addenda (1) | Download filesPlace polyester concrete overlay, & replace joint seal.04-Sol-12,37,80,113,505,780-Var * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/30/2024 Estimate: $3,900,000 In Solano County At Various Locations The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-8, C-12.110 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 9 opt-in records | Primes: Advertise for help  | 6 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","3,900,00",Solano Cou,Class A,Small Business Preference
04-0Y8204,"| 0 bidder inquiries  | Download filesPlace polyester concrete overlay, treat bridge deck with methacrylate.04-Son-101, 116, 128-Var * Date Advertised 05/06/2024Bids Opening in Sacramento * Bids Open 05/31/2024 Estimate: $2,990,000 In Sonoma County At Various Locations The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-8, C-12.110 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 6 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","2,990,00",Sonoma Cou,Class A,Small Business Preference
04-0Y9804,"| 0 bidder inquiries  | Download filesRepair drainage pipe, repair and replace lighting system.04-Mrn-101-0.9 * Date Advertised 05/06/2024Bids Opening in Sacramento * Bids Open 05/30/2024 Estimate: $820,000 In Marin County In Sausalito At The Robin Williams Tunnel The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-10, C-42.60 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 7 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","820,000 ",Marin Coun,Class A,Small Business Preference
04-1Y3404,"| 3 bidder inquiries  | Download filesRepair spalled surface area and building roof, & replace tunnel tile.04-Ala-260-R1.2L * Date Advertised 05/06/2024Bids Opening in Sacramento * Bids Open 06/06/2024 Estimate: $4,430,000 In Alameda County In Alameda And Oakland At The Posey Tube And  Webster Street Tube The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-8.80 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 10 opt-in records | Primes: Advertise for help  | 3 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","4,430,00",Alameda Co,Class A,Small Business Preference
04-1Y5004,"| 0 bidder inquiries  | Download filesPlace polyester concrete overlay, and replace joint seal.04-SF-280-R2.7/R4.2L * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/29/2024 Estimate: $4,780,000 In The City And County Of San Francisco At Various Locations From Monterey Boulevard On-ramp Overcrossing To Route 280/101 Separation The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-8, C-12.90 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 13 opt-in records | Primes: Advertise for help  | 6 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","4,780,00",The City A,Class A,Small Business Preference
04-2J7904,"| 5 bidder inquiries  | Download filesChannel excavation and partially grouted rock slope protection.04-SM-1, 84-28.9, 7.6 * Date Advertised 04/22/2024Bids Opening in Sacramento * Bids Open 05/29/2024 Estimate: $4,260,000 In San Mateo County In Half Moon Bay On Route 1 At Pilarcitos Creek Bridge And Near La Honda On Route 84 At San Gregorio Creek Bridge The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.380 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 11 opt-in records | Primes: Advertise for help  | 5 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","4,260,00",San Mateo,Class A,Small Business Preference
04-2Q4604,"| 0 bidder inquiries  | Download filesBridge rail replacement.04-SF-101-0.8, 3.4 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 06/05/2024 Estimate: $3,740,000 In The City And County Of San Francisco At Third Street Undercrossing And At Twenty Third Street Overcrossing. The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-8, C-10, C-13.175 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 16 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","3,740,00",The City A,Class A,Small Business Preference
04-2Y4604,"| 1 bidder inquiry  | See addenda (1) | Download filesCold plane asphalt concrete pavement and overlay with RHMA-G.04-SCl,Ala-680-M8.5/M9.9, M0.0/M0.1 * Date Advertised 04/22/2024Bids Opening in Sacramento * Bids Open 05/21/2024 Estimate: $3,100,000 In Santa Clara And Alameda Counties In Milpitas And Fremont From Jacklin Road Undercrossing To Scott Creek Road Undercrossing The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.45 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 18 opt-in records | Primes: Advertise for help  | 6 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","3,100,00",Santa Clar,Class A,Small Business Preference
04-2Y4704,"| 0 bidder inquiries  | Download filesCold plane asphalt concrete pavement and overlay with RHMA-O & G.04-CC-24-R6.5/R7.6 * Date Advertised 05/06/2024Bids Opening in Sacramento * Bids Open 05/30/2024 Estimate: $1,670,000 In Contra Costa County In Lafayette From First Street Undercrossing To Pleasant Hill Road Undercrossing The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.40 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 12 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,670,00",Contra Cos,Class A,Small Business Preference
04-2Y4904,"| 0 bidder inquiries  | Download filesIndividual slab replacement, cold plane AC Pvmt & place HMA (Type A).04-CC-242, 680-Var * Date Advertised 05/06/2024Bids Opening in Sacramento * Bids Open 05/30/2024 Estimate: $1,920,000 In Contra Costa County At Various Locations The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.45 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 11 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,920,00",ividual sl,Class A,Small Business Preference
04-2Y5004,"| 0 bidder inquiries  | Download filesCold plane asphalt concrete pavement and overlay with RHMA-G.04-Nap-221-0.2/1.7 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/16/2024 Estimate: $2,690,000 In Napa County In And Near Napa From 0.2 Mile North Of Junction Route 12/29 To 0.2 Mile North Of Basalt Road Undercrossing The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.45 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 20 opt-in records | Primes: Advertise for help  | 7 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","2,690,00",Napa Count,Class A,Small Business Preference
04-2Y5504,"| 4 bidder inquiries  | See addenda (1) | Download filesCold plane AC pavement, place HMA (Type A), and replace PCC slabs.04-SCl-101-40.2/48.6 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/14/2024 Estimate: $1,920,000 In Santa Clara County In San Jose And Mountain View From Guadalupe River Bridge To North Shoreline Boulevard Overcrossing The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.55 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.25% SBE Requirement *   Subs/Suppliers: Opt In  | See 18 opt-in records | Primes: Advertise for help  | 6 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,920,00",Santa Clar,Class A,Small Business Preference
04-2Y5804,"| 0 bidder inquiries  | Download filesCold plane asphalt concrete pavement and overlay with HMA.04-Son-1-30.5/32.0 * Date Advertised 05/13/2024Bids Opening in Sacramento * Bids Open 06/04/2024 Estimate: $970,000 In Sonoma County At Fort Ross From 2.5 Miles South Of Fort Ross Road To 1.0 Mile South Of Fort Ross Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.45 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","970,000 ",Sonoma Cou,Class A,Small Business Preference
04-2Y5904,"| 0 bidder inquiries  | Download filesCold plane asphalt concrete pavement and place HMA(Type A).04-SM-92, 280-R12.1/R14.5, R12.3 * Date Advertised 05/13/2024Bids Opening in Sacramento * Bids Open 06/06/2024 Estimate: $950,000 In San Mateo County On Route 92 From Route 92/101 Separation To San Mateo Hayward Bridge And On Route 280 At Bunker Hill Drive Overcrossing The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.45 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 7 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","950,000 ",San Mateo,Class A,Small Business Preference
04-2Y6004,"| 0 bidder inquiries  | Download filesMicro-surfacing and replace AC pavement surfacing.04-SM-84-0.0/8.5 * Date Advertised 05/13/2024Bids Opening in Sacramento * Bids Open 06/05/2024 Estimate: $1,950,000 In San Mateo County From Route 1 To La Honda Creek Bridge The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-32.45 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,950,00",San Mateo,Class A,Small Business Preference
06-0S0504,"| 1 bidder inquiry  | See addenda (1) | Download filesNEW BID DATEMicropiling, structural concrete, and hot mix asphalt (Type A).06-Ker-166-17.5 * Date Advertised 05/06/2024Bids Opening in Sacramento * Bids Open 06/25/2024 Estimate: $6,800,000 In Kern County Near Mettler At California Aqueduct Bridge The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-8, C-61 D-09.170 Working Days *  DVBE participation incentive up to $250,000.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 13 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","6,800,00",Kern Count,Class A,Small Business Preference
